gen,nevals,avg,min,max
0,84,[-748.73809524  788.01190476],[-1000.     7.],[ 175. 1000.]
1,62,[-22.70238095 175.6547619 ],[-1000.     7.],[ 175. 1000.]
2,65,[132.33333333  45.05952381],[-1000.     7.],[ 175. 1000.]
3,70,[118.82142857  55.48809524],[-1000.     7.],[ 175. 1000.]
4,64,[160.89285714  19.92857143],[-1000.     7.],[ 175. 1000.]
5,61,[174.89285714   7.83333333],[173.   7.],[175.  10.]
6,56,[104.97619048  66.4047619 ],[-1000.     7.],[ 175. 1000.]
7,59,[174.9047619    7.20238095],[171.   7.],[175.  17.]
8,66,[160.97619048  18.89285714],[-1000.     7.],[ 175. 1000.]
9,63,[147.          30.70238095],[-1000.     7.],[ 175. 1000.]
10,63,[174.98809524   7.        ],[174.   7.],[175.   7.]
11,58,[174.91666667   7.11904762],[169.   7.],[175.  16.]
12,61,[174.98809524   7.13095238],[174.   7.],[175.  18.]
13,65,[160.85714286  19.13095238],[-1000.     7.],[ 175. 1000.]
14,58,[175.           7.01190476],[175.   7.],[175.   8.]
15,63,[161.01190476  18.82142857],[-1000.     7.],[ 175. 1000.]
16,58,[174.94047619   7.0952381 ],[173.   6.],[175.  15.]
17,63,[175.           7.02380952],[175.   7.],[175.   9.]
18,62,[174.98809524   7.01190476],[174.   7.],[175.   8.]
19,68,[175.           7.01190476],[175.   7.],[175.   8.]
20,63,[175.           7.01190476],[175.   7.],[175.   8.]
21,63,[160.97619048  18.89285714],[-1000.     7.],[ 175. 1000.]
22,70,[175.   7.],[175.   7.],[175.   7.]
23,67,[175.   7.],[175.   7.],[175.   7.]
24,61,[161.01190476  18.82142857],[-1000.     7.],[ 175. 1000.]
25,65,[175.   7.],[175.   7.],[175.   7.]
26,62,[147.01190476  30.64285714],[-1000.     7.],[ 175. 1000.]
27,62,[175.   7.],[175.   7.],[175.   7.]
28,57,[175.           7.01190476],[175.   7.],[175.   8.]
29,63,[174.95238095   7.11904762],[172.   7.],[175.  16.]
30,60,[175.           7.01190476],[175.   7.],[175.   8.]
31,63,[175.   7.],[175.   7.],[175.   7.]
32,64,[175.   7.],[175.   7.],[175.   7.]
33,57,[175.   7.],[175.   7.],[175.   7.]
34,69,[175.   7.],[175.   7.],[175.   7.]
35,64,[175.           7.01190476],[175.   7.],[175.   8.]
36,57,[175.   7.],[175.   7.],[175.   7.]
37,65,[161.01190476  18.82142857],[-1000.     7.],[ 175. 1000.]
38,67,[174.98809524   7.01190476],[174.   7.],[175.   8.]
39,59,[175.   7.],[175.   7.],[175.   7.]
40,67,[161.01190476  18.82142857],[-1000.     7.],[ 175. 1000.]
41,61,[175.   7.],[175.   7.],[175.   7.]
42,68,[175.   7.],[175.   7.],[175.   7.]
43,65,[175.   7.],[175.   7.],[175.   7.]
44,58,[175.   7.],[175.   7.],[175.   7.]
45,67,[175.   7.],[175.   7.],[175.   7.]
46,71,[175.   7.],[175.   7.],[175.   7.]
47,65,[175.   7.],[175.   7.],[175.   7.]
48,70,[175.   7.],[175.   7.],[175.   7.]
49,63,[174.98809524   7.01190476],[174.   7.],[175.   8.]
50,56,[174.86904762   7.3452381 ],[165.   7.],[175.  35.]
51,54,[175.   7.],[175.   7.],[175.   7.]
52,63,[175.           7.01190476],[175.   7.],[175.   8.]
53,55,[175.   7.],[175.   7.],[175.   7.]
54,59,[175.   7.],[175.   7.],[175.   7.]
55,69,[174.97619048   7.        ],[173.   7.],[175.   7.]
56,59,[175.   7.],[175.   7.],[175.   7.]
57,58,[174.97619048   7.01190476],[173.   7.],[175.   8.]
58,67,[161.01190476  18.82142857],[-1000.     7.],[ 175. 1000.]
59,58,[175.   7.],[175.   7.],[175.   7.]
60,68,[174.97619048   7.05952381],[173.   7.],[175.  12.]
,,,,
gen,nevals,avg,min,max
0,84,[-664.76190476  716.88095238],[-1000.     7.],[ 175. 1000.]
1,59,[-77.76190476 221.39285714],[-1000.     7.],[ 175. 1000.]
2,63,[118.70238095  55.58333333],[-1000.     7.],[ 175. 1000.]
3,61,[146.78571429  31.69047619],[-1000.     6.],[ 175. 1000.]
4,63,[76.69047619 90.27380952],[-1000.     6.],[ 175. 1000.]
5,62,[104.94047619  66.01190476],[-1000.     6.],[ 175. 1000.]
6,61,[132.89285714  41.6547619 ],[-1000.     6.],[ 175. 1000.]
7,56,[174.83333333   6.42857143],[170.   6.],[175.  23.]
8,62,[160.83333333  18.42857143],[-1000.     6.],[ 175. 1000.]
9,62,[160.98809524  17.89285714],[-1000.     6.],[ 175. 1000.]
10,64,[174.97619048   6.05952381],[173.   6.],[175.   7.]
11,63,[175.           6.01190476],[175.   6.],[175.   7.]
12,64,[174.82142857   6.48809524],[162.   6.],[175.  31.]
13,65,[161.01190476  17.8452381 ],[-1000.     6.],[ 175. 1000.]
14,61,[174.97619048   6.01190476],[173.   6.],[175.   7.]
15,67,[174.97619048   6.02380952],[173.   6.],[175.   7.]
16,58,[174.86904762   6.45238095],[167.   6.],[175.  28.]
17,64,[160.98809524  17.96428571],[-1000.     6.],[ 175. 1000.]
18,73,[174.97619048   6.10714286],[173.   6.],[175.  12.]
19,63,[174.92857143   6.29761905],[170.   6.],[175.  30.]
20,67,[174.77380952   6.53571429],[164.   6.],[175.  31.]
21,64,[174.97619048   6.0952381 ],[174.   6.],[175.  12.]
22,68,[161.          17.85714286],[-1000.     6.],[ 175. 1000.]
23,51,[174.82142857   6.35714286],[170.   6.],[175.  23.]
24,58,[174.83333333   6.46428571],[167.   6.],[175.  32.]
25,64,[174.92857143   6.03571429],[173.   6.],[175.   7.]
26,60,[174.97619048   6.16666667],[173.   6.],[175.  19.]
27,54,[175.   6.],[175.   6.],[175.   6.]
28,58,[161.01190476  17.85714286],[-1000.     6.],[ 175. 1000.]
29,63,[174.96428571   6.3452381 ],[173.   6.],[175.  28.]
30,59,[175.   6.],[175.   6.],[175.   6.]
31,60,[175.           6.02380952],[175.   6.],[175.   8.]
32,62,[174.96428571   6.1547619 ],[172.   6.],[175.  12.]
33,68,[174.96428571   6.03571429],[173.   6.],[175.   8.]
34,65,[175.   6.],[175.   6.],[175.   6.]
35,68,[174.96428571   6.04761905],[173.   6.],[175.   9.]
36,59,[161.01190476  17.85714286],[-1000.     6.],[ 175. 1000.]
37,55,[175.   6.],[175.   6.],[175.   6.]
38,64,[174.97619048   6.02380952],[173.   6.],[175.   7.]
39,61,[174.96428571   6.07142857],[173.   6.],[175.  10.]
40,58,[175.           6.01190476],[175.   6.],[175.   7.]
41,61,[175.           6.03571429],[175.   6.],[175.   8.]
42,55,[175.   6.],[175.   6.],[175.   6.]
43,68,[175.   6.],[175.   6.],[175.   6.]
44,60,[174.95238095   6.05952381],[171.   6.],[175.  11.]
45,65,[174.96428571   6.02380952],[173.   6.],[175.   7.]
46,61,[174.9047619    6.53571429],[169.   6.],[175.  40.]
47,54,[161.01190476  17.83333333],[-1000.     6.],[ 175. 1000.]
48,58,[174.95238095   6.02380952],[173.   6.],[175.   7.]
49,64,[175.   6.],[175.   6.],[175.   6.]
50,58,[174.94047619   6.32142857],[170.   6.],[175.  33.]
51,58,[174.97619048   6.01190476],[173.   6.],[175.   7.]
52,56,[175.   6.],[175.   6.],[175.   6.]
53,61,[175.           6.01190476],[175.   6.],[175.   7.]
54,63,[174.97619048   6.02380952],[173.   6.],[175.   7.]
55,61,[175.   6.],[175.   6.],[175.   6.]
56,63,[175.           6.02380952],[175.   6.],[175.   8.]
57,61,[174.97619048   6.02380952],[173.   6.],[175.   7.]
58,66,[175.   6.],[175.   6.],[175.   6.]
